mIoU,FWIoU
0.9793248865890806,0.9987987900637225
0.9724540554346875,0.9984571147249817
0.982328952696047,0.9990015060806806
0.9824378716287971,0.999016633986022
0.981176315014691,0.9988521795260763
0.9722850302902386,0.9984220393547509
0.9763270249827052,0.9986351412143428
0.970831206966607,0.9977626644960536
0.9706789250574263,0.997635180279116
0.9803533480401214,0.9988393746442155
0.9799198409075567,0.9987722085397092
0.9830551075141853,0.9987107120274631
0.9706249931451771,0.9975626853727482
0.9797874349954434,0.9983799604802928
0.9828305503402515,0.9989169830133564
0.9746155048167726,0.9985152298802203
0.968496264395704,0.9977494645753961
0.977672329877622,0.998140128787916
0.9743492351100165,0.9980591127927599
0.977526431809745,0.9982517197640669
0.9781852461594229,0.9980661939986589
0.9829934890046114,0.9985096037597206
0.9778290353535304,0.9986121576186636
0.9752506346875857,0.998517909575153
0.9828447020441919,0.9990469721406965
0.9735554850183096,0.9980009196899415
0.9820721791863858,0.9987497573509143
0.9804552340164652,0.9985040875629475
0.9814241343388156,0.9984697894692063
0.9758282359379726,0.9980653041683262
0.9769136072436995,0.9982527548889069
0.9732168274546599,0.9979170230217642
0.972600072153037,0.9981770040353583
0.9492247411636877,0.9966277285031595
0.9552049277349705,0.9970218137521241
0.9474772031316558,0.9853811311322864
0.9427551677581741,0.9847855904401741
0.9316301045205109,0.9836131246195313
0.9270108480815176,0.9822071030213407
0.9556776323016157,0.9893251623215572
0.9420903221718315,0.9843351105496848
0.9514464568989031,0.9867676258931344
0.9415124564945367,0.9830191996537743
0.9551387533325288,0.9869607991758743
0.9494509867077633,0.9860895668334071
0.8903837324620566,0.9924906028074246
0.6660624615344746,0.9877690576303485
0.7491073569560965,0.9918843758021073
0.9158818809661751,0.9881367291748573
0.8877706628479617,0.9877602628517735
